summary,article,emotion_label,predicted_summary
hero motocorp ceo's â¹15.78 cr hike more than ambani's salary,"hero motocorp chairman and ceo pawan munjal received â¹75.44 crore in salary last fiscal, â¹15.78 crore more than the last year. this rise is more than reliance industries chairman mukesh ambani's entire year's salary of â¹15 crore. notably, this is the second year in a row when munjal has remained the highest paid executive in the indian automotive industry.",joy,hero motocorp ceo pawan munjal receives â175.44 crore in salary last fiscal.
"delhi's faqir chand lockers raided, â¹5.5 crore cash seized","the income tax department on monday seized â¹5.5 crore cash from faqir chand lockers and vaults in delhi's chandni chowk. raids have been conducted since october 31 and a total of â¹41 crore has been seized till now from faqir chand, which has about 300 lockers. the lockers were opened over allegations of tax evasion by certain people.",fear,income tax department seized â15.5 crore cash from faqir chand lockers and vaults.
only 3 current players in vvsâ best india test xi of 25yrs,"captain virat kohli, pacer bhuvneshwar kumar and murali vijay are the only currentlyactive test cricketers to feature in former cricketer vvs laxman's best indian test xi of the last 25 years. alongside them, the team also featured india's former test wicketkeeper ms dhoni, who still plays in the limitedovers formats. sachin tendulkar, sourav ganguly and virender sehwag were also included.",neutral,"virat kohli, bhuvneshwar kumar and murali vijay are only currently active test cricketers to feature in best indian test xi of 25 years."
how will gst affect the car prices in india?,"after the implementation of gst from july 1, smalls cars will become expensive with 1 cess charged on top of 28 tax. midsized cars will attract 3 cess. luxury cars may become cheaper as the tax on such cars will come down to 4245 from the current 5255. fullsize sedans like honda city may become cheaper.",neutral,smalls cars will become expensive with 1 cess charged on top of 28 tax.
martyred jawan's kin perform last rites after cm yogi's call,"the family members of a martyred army jawan agreed to perform his last rites after up cm yogi adityanath called the father of the jawan and assured him of all possible support. the family had on monday refused to perform the jawan's last rites, demanding that union home minister rajnath singh and up cm yogi adityanath visit the village.",neutral,up cm yogi adityanath called the father of the jawan and assured him of all possible support.
bhim app allows users to split bills and collect payments,"the national payments corporation of indiabacked bhim bharat interface for money app has been updated with features like splitting bills and collecting payments. the app allows users to send or receive money from other users through a mobile number or payment address and is available on android app store. launched in 2016, the app is a rebranded version of upi.",neutral,the app allows users to send or receive money through a mobile number or payment address.
man removes rail track joint to buy wheat flour in ghaziabad,"three teenagers handed over a 30yearold man to police after they spotted him removing railway track joints in ghaziabad. the man claimed he removed the joints to buy wheat flour, police said. a train that was scheduled to cross the section was halted for 40 minutes to repair damaged tracks. police have informed the state antiterrorism squad about the incident.",neutral,three teenagers spotted man removing railway track joints in ghaziabad
"10 maoists killed, 5 injured in sukma attack reports","as many as ten maoists were killed and five injured in the sukma attack earlier this week, according to reports. the maoist attack had led to the death of at least 25 crpf personnel while six others were injured. the 74th battalion of the paramilitary force was ambushed by around 300 to 400 maoists, the reports claimed.",sadness,as many as ten maoists killed and five injured in sukma attack.
ibm now has bigger workforce in india than the us,"us technology giant ibm has announced that it has more employees in india than in the us, according to a new york times report. the company employs about 1,30,000 people in india and that constitutes about onethird of its total workforce. ""ibm india, in the truest sense, is a microcosm of the ibm company,"" ibm india chairman vanitha narayanan said.",surprise,"ibm india employs about 1,30,000 people in india."
us pipeline leaks nearly 8 lakh litres of oil,"an oil pipeline system was closed in the us state of south dakota after it leaked nearly eight lakh litres of oil on thursday. the section of the pipe that was leaking was isolated within 15 minutes after a pressure drop was detected, the company operating the system has said. the oil isn't believed to have entered any water system.",anger,oil pipeline shut in us state of south dakota
andhra teacher held for making students strip as punishment,"a private school teacher in andhra pradesh's chittoor was arrested on thursday for making six students strip as a punishment for coming late to the class. pictures and videos of the incident surfaced online, following which the mandal education officer filed a complaint against the teacher. a case has been filed under different sections of ipc and juvenile justice act.",anger,teacher arrested for making six students strip as punishment for coming late to class.
bhuvneshwar kumar gets engaged to family friend,"indian pacer bhuvneshwar kumar got engaged to family friend nupur nagar in greater noida on wednesday. on tuesday, the cricketer had revealed nupur's identity in an instagram post which was captioned, ""here's the better half of the picture nupurnagar."" bhuvneshwar's father revealed bhuvneshwar has known nupur for long and that the marriage will take place in meerut later this year.",joy,bhuvneshwar kumar got engaged to family friend nupur nagar in greater noida.
abhishek bachchan to star in kamal haasan's indian 2 report,"abhishek bachchan will star in the upcoming kamal haasan starrer 'indian 2', as per reports. the film, which is a sequel to the 1996 film 'indian', is directed by s shankar and produced by subaskaran allirajah. the film also stars akshay kumar, siddharth and kajal aggarwal, according to reports. the original film starred manisha koirala and urmila matondkar opposite kamal.",joy,abhishek bachchan will star in kamal haasan starrer 'indian 2'
fish venom found to be painless but can disorient attackers,"researchers at liverpool, uk, studying a twoinchlong blenny fish found its venom components to induce no pain when injected into lab mice. researchers believe the venom might cause a sudden drop in blood pressure leaving the attacker disoriented and unable to chase. researchers also found that the fangs teeth of the fang blenny fish evolved before the venom, unlike snakes.",disgust,blenny fish induces no pain when injected into mice
sania meets husband shoaib malik's teammates in lahore,"indian tennis player sania mirza, who was ruled out of the upcoming australian open, recently visited lahore with husband and pakistan allrounder shoaib malik. mirza attended a dinner hosted by veteran allrounder mohammad hafeez and met members of the pakistan cricket team before they departed for new zealand. mirza also caught up with pakistani actresses urwa and mawra hocane.",joy,sania mirza recently visited lahore with husband and pakistan allrounder shoaib malik
rome witnesses snow for first time in 6 years,"the italian capital city of rome witnessed snow for the first time in six years on monday as cold winds from siberia moved across europe. schools were closed and public transportation was affected. meanwhile, priests at st. peter's square in the vatican took part in a snowball fight and nuns built snowmen.",surprise,rome sees snow for the first time in six years as cold winds move across europe.
congress leader dies of heart attack during 'surya namaskar' event,madhya pradesh congress leader pradeep saxena passed away after suffering a heart attack while participating in a 'surya namaskar' event in chhindwara on saturday. saxena was district vicepresident of the congress unit in chhindwara. madhya pradesh chief minister kamal nath spoke with saxena's family members over the phone and extended his condolences.,sadness,pradeep saxena passed away after suffering heart attack in chhindwara.
fans call ravi shastri 'naraaz phupha' after kohli's wedding,"following india captain virat kohli and actress anushka sharma's wedding, twitter users used ravi shastri's picture to make a 'naraaz phupha' meme. using the picture, a user wrote, ""mausaji whose name was spelt wrongly in the wedding card virushkawedding."" meanwhile, ""naagin dance karne wala, punjab se aaya bua ka beta,"" tweeted a user on harbhajan singh and virat's picture.",neutral,twitter users used ravi shastri's picture to make a 'naraaz phupha' meme.
iran minister compares us to 'armed robber',"iran's defence minister, hossein dehghan, has advised the us military to leave the persian gulf and stop causing trouble in the region. ""is it acceptable for an armed robber to enter your house and expect to get the red carpet treatment?"" dehghan said. this comes after us general joseph votel accused iran of being a destabilising influence in the region.",fear,iran's defence minister advises us military to leave persian gulf.
why the army claims pakistan's video of loc bombing is fake?,"the indian army has reportedly claimed that the video released by pakistan, which shows india's posts along loc being bombed, is fake. listing reasons, the indian army said their posts have thick walls, which cannot be seen in the clipping. further, the blast, as shown in the video, happened from below the structure, and was not artillery fire.",anger,pakistan video shows posts along loc being bombed.
"delhi man stabs wife 21 times, gets life sentence","the delhi high court has upheld the life sentence given to a man by a trial court for killing his wife by stabbing her 21 times in 2012. the court termed the crime a ""brutal murder"" and dismissed the accused's plea to reduce the sentence. he allegedly killed his wife using a peeler knife and a brick following an argument.",anger,delhi high court upholds life sentence given to man for stabbing wife 21 times in 2012.
china launches website to report corruption,"china has launched a website for citizens to report names of people who attempt to bribe government or military officials as part of its crackdown on corruption. the website also urges people to report threats to national security, including names of those attempting to instigate riots or trading state secrets. the informants would be rewarded by the government.",anger,china launches website for citizens to report names of people who attempt to bribe government or military officials.
"vijay, pujara hit tons as india lead sri lanka by 107 runs","indian batsmen murali vijay and cheteshwar pujara slammed their 10th and 14th test tons respectively as india ended the second day of the second test at 3122, leading sri lanka by 107 runs. pujara crossed 1,000 runs in test cricket in 2017, becoming the first indian to do so. pujara and vijay's 209run stand was their fourth consecutive 100run stand.",joy,"murali vijay and cheteshwar pujara crossed 1,000 runs in test cricket in 2017."
kerala cm slams report railways minister refused to meet him,"after reports emerged that railways minister piyush goyal refused to meet him, kerala cm pinarayi vijayan wrote on facebook, ""i had not even thought of meeting the minister during my delhi visit."" this comes after vijayan alleged that pm narendra modi's office repeatedly turned down his request for a meeting to discuss the alleged disparities in ration allocation to kerala.",anger,"kerala cm pinarayi vijayan: ""i had not even thought of meeting the minister during my delhi visit"""
doors of hinduism open as all of us originally hindus rss,"rss chief mohan bhagwat on monday said the doors of hinduism are open to all as they believe all indians originally are hindus. ""we don't convert people to hinduism and we believe that our forefathers, no matter which community we represent today, were hindus,"" he added. he was speaking at an event organised by baba ramdev to mark bhagwat's birthday.",neutral,rss chief says hinduism is open to all as they believe all indians originally are hindus.
complaint filed over temple denying entry to disabled girl,"a police complaint has been filed in goa over a temple denying entry to a 17yearold wheelchairbound girl. the girl's mother alleged that the temple's trustee refused to let the wheelchair be taken inside saying that ""vehicles were not allowed inside"". however, temple authorities refuted the allegations, reasoning that they have no facility to take a wheelchair inside the temple.",anger,girl's mother alleged temple refused to let wheelchair be taken inside.
austria distributes flyers informing people about burqa ban,"austrian authorities have been distributing flyers to inform austrian nationals and tourists about a ban on face veils in public. the flyers also warn that those violating the law face fines of up to â150 over â¹11,000. the ban is aimed at encouraging people to assimilate into austrian culture, the foreign ministry said.",neutral,flyers to inform austrian nationals and tourists about ban on face veils in public
operation meghdoot to take siachin was launched on this day,"indian armed forces' operation meghdoot was launched on april 13, 1984 to capture the siachen glacier in jammu and kashmir. a platoon of 4 kumaon led by thencaptain sanjay kulkarni planted the first indian flag on the glacier, which began the operation. for the last 33 years, indian troops have been deployed at the world's highest and coldest battlefield.",neutral,"operation meghdoot launched on april 13, 1984 to capture siachen glacier in jammu and kashmir"
kohli records jointmost ducks by an india captain in a year,"virat kohli registered the jointmost international ducks in a year by an indian captain, after getting dismissed for zero for the fifth time in 2017 against sri lanka on thursday. kohli joined excaptain kapil dev, who had registered five ducks in 1983. in october, kohli had set the record for playing most t20i innings 47, before registering first t20i duck.",surprise,virat kohli registered jointmost ducks in a year by indian captain kapil dev.
cbi retrieves 81 artifacts after busting smuggling racket,"the cbi on wednesday recovered 81 artifacts dating back several hundred years after busting an antique smuggling racket in delhi. of the 81 artifacts, 34 were found to be unregistered and 47 of them are suspected to have fake documentation. it is being investigated whether the artifacts were stolen from excavation sites or religious places.",anger,34 of the 81 artifacts are unregistered and 47 are suspected to have fake documentation.
usa cricket governing body faces expulsion from icc,"the united states of america cricket association usaca is facing expulsion from the international cricket council icc, the sport's global governing body revealed on monday. icc had suspended the board in 2015 as it claimed that the body did not have unity and did not hold the widespread authority over the country's cricket activities.",sadness,usaca facing expulsion from international cricket council icc
defending champs chelsea beat stoke as morata nets hattrick,"the reigning premier league champions chelsea defeated stoke city 40 on saturday, extending their unbeaten run in the league to five matches. chelsea were helped by recordsigning alvaro morata, who became the 17th player to score a premier league hattrick for the london club. meanwhile, liverpool defeated leicester 32, registering their first win across competitions since august 27.",anger,"chelsea beat stoke city 40 extending unbeaten run to five matches. liverpool beat leicester 32, registering their first win across competitions since august 27."
rohit shares ranveer's still from 'simmba' on actor's b'day,"filmmaker rohit shetty shared a new still of ranveer singh from his upcoming film 'simmba' on the actor's 33rd birthday today. sharing the still on instagram, he captioned it, ""straight. simple. honest. hard working and pure at heart. be the way you are."" ""lots of love to you my little brother. happy birthday,"" he further wrote.",neutral,rohit shetty shared a new still of ranveer singh on instagram.
arunachal is diamond on the crown of northeast prez kovind,"during his maiden visit to the northeast after assuming office, president ram nath kovind on sunday said if the northeast was the crown of india, then arunachal pradesh would be the diamond on the crown. he further said that the state depicted the principle of unity in diversity, as hundreds of tribes with diverse languages and traditions converged there.",neutral,"arunachal pradesh would be the diamond on the crown, kovind says."
pornstar who accused trump of affair arrested at strip club,"pornstar stormy daniels who claimed she had a sexual affair with us president donald trump in 2006 has been arrested at a strip club in ohio for letting a customer touch her while on stage in violation of state law. however, daniels' lawyer said the charge was ""politically motivated"", suggesting that the arrest was a preplanned sting operation.",anger,porn star stormy daniels has been arrested at a strip club in ohio.
germany approves bill curbing hate crime on social media,"germany's cabinet has approved a new bill on curbing hate comments and fake news on social media. the new rules would impose fines of up to â50 million over â¹346 crore on social networking sites that fail to swiftly remove illegal content. ""just like...streets, there is...no room for criminal incitement on social networks,"" german justice minister heiko maas said.",anger,new rules would impose fines of up to â50 million on social networks that fail to remove illegal content.
instagram adds feature on ios to post on multiple accounts,"facebookowned photosharing platform instagram has added a new feature to simultaneously post media on multiple instagram accounts on apple ios. the platform currently lets users post the content to different social media platform accounts such as facebook, twitter and tumblr. users can toggle between their multiple accounts before posting, to select all or certain specific ones.",neutral,instagram allows users to simultaneously post media on multiple accounts on apple ios.
mp tea seller's daughter gets selected to iaf flying branch,"the daughter of a tea seller in madhya pradesh has been selected into indian air force's flying branch after she cleared the interview on her sixth attempt. aanchal gangwal is among 22 selected from 6 lakh candidates who gave the entrance. her father said, ""everyone in the area knows about my namdev tea stall...i feel very happy when people...congratulate me.""",joy,aanchal gangwal is among 22 selected from 6 lakh candidates.
9 tourists killed as minibus falls into uttarakhand gorge,"at least nine tourists from gujarat were killed and five others were injured when a minibus fell into a gorge in uttarakhand's uttarkashi district on friday evening, the police said. police officials and state disaster response force sdrf teams rushed to the spot upon receiving information about the accident. meanwhile, the injured were rushed to the hospital.",sadness,gujarat minibus fell into a gorge in uttarkashi district
70 turnout as voting ends for 1st phase chhattisgarh polls,"voting has ended for the first phase of chhattisgarh assembly election 2018 and voter turnout is 70 till 5 pm, the election commission said. ""figures will be updated later,"" the election commission added. nearly one lakh security personnel were deployed in eight districts, amid threat from maoists who have called for a boycott of the elections.",neutral,voting ends for first phase of chhattisgarh assembly election 2018. voter turnout is 70 till 5 pm
ops to be appointed aiadmk general secy in 6 months reports,"o panneerselvam will be appointed as aiadmk general secretary within six months, while edappadi palaniswami might continue as tamil nadu cm till 2018, according to reports. some ops camp leaders are also likely to get ministerial berths in the state cabinet. notably, ops faction had set a condition wherein there would be no merger till palaniswami severed ties with sasikala.",neutral,o panneerselvam will be appointed as aiadmk general secretary within six months. palaniswami may continue as secretary tamil nadu cm till 2018
student beaten for not possessing aadhaar in mumbai school,"suhail ansari, a class 9 student, was allegedly beaten up by his school teacher on thursday for not possessing an aadhaar card, in mumbai's ghatkopar. when students were being asked whether they had aadhaar cards, a student jokingly said suhail didn't have one. this angered the teacher who allegedly hit suhail on his head, where he already had an injury.",sadness,"suhail ansari, a class 9 student, was allegedly beaten up by his school teacher thursday."
mumbai will come to halt if north indians stop work nirupam,"congress leader sanjay nirupam on sunday said mumbai will come to a standstill and its people will not get food if the north indian community in the city decides to stop working. the community should not be forced for such a step, he added. addressing an event of north indians, he said the community has always expressed gratitude towards maharashtra.",fear,sanjay nirupam says mumbai will come to a standstill and its people will not get food if the north indian community decides to stop working.
"potholefree roads in up to get banners of pm modi, cm yogi","the roads declared potholefree by uttar pradesh's public works department pwd will display banners carrying photographs of pm narendra modi and cm yogi adityanath. the banners will also have the slogan, 'sarkar ka sankalp, sadkon ka ho kayakalp'. stating that the cost may vary in every district, pwd officials said erecting cantilever boards in bareilly will cost â¹3.16 lakh each.",neutral,roads declared potholefree by uttar pradesh's public works department pwd to display banners.
kareena featured in hrithik's debut film before her own debut,"kareena kapoor, who turned 38 today, can be seen in a brief scene in hrithik roshan's debut film 'kaho naa... pyaar hai', which released before her debut film 'refugee'. she was supposed to make her bollywood debut opposite hrithik but opted out of the film. however, a scene kareena shot, in which she wore blue sweater and jeans, was retained.",joy,kareena kapoor turned 38 today in brief scene in debut film 'kaho naa... pyaar hai'
akshay reveals why he gave up his original name rajiv bhatia,"actor akshay kumar has revealed that he changed his name from rajiv bhatia because in his first film 'aaj', the lead actor kumar gaurav's character was named 'akshay'. ""i would only observe gaurav and his acting. i don't know what happened but one day i just went to the court and got my name changed,"" said akshay.",neutral,akshay kumar changed his name from rajiv bhatia
thakur injured after bowling just 10 deliveries on test debut,"indian cricketer shardul thakur went off the field with a groin injury after having bowled just 10 deliveries in his debut test match on friday. thakur, who gave away nine runs off his 10 deliveries, had received his test cap from ravi shastri before the start of the match. ravichandran ashwin bowled the two remaining deliveries of thakur's over.",sadness,shardul thakur bowled just 10 deliveries in debut test match on friday.
"world no. 1 mocks, complains about opponent's grunting","world number one denmark's caroline wozniacki progressed to the qatar open quarterfinals on thursday after she complained and apparently mocked her opponent monica niculescu's grunting. the umpire said he thought everything was ""regular"", but wozniacki said, ""it's the only way she can win."" she later complained that her opponent had used ""unfair methods"" during the match.",disgust,denmark's caroline wozniacki progresses to the qatar open quarterfinals
15 arrested for lynching 2 men in assam over false rumours,"assam police has arrested 15 people for being allegedly involved in the lynching of two men in assam's karbi anglong district on friday. ""the situation at the site is under control and efforts are on to nab the others,"" police officials said. the victims had been attacked by a mob over false rumours about them being child lifters.",anger,assam police arrest 15 people for being involved in lynching of two men.
amazon accused of copying device from startup it invested in,"ecommerce major amazon has been accused of copying its latest voicecontrolled device 'echo show' from nucleus, a startup in which it led a 5.6 million investment last year. both devices are powered by amazon's digital assistant alexa and serve as home intercom systems and videoconferencing tools. nucleus ceo jonathan frankel has accused amazon of trying to ""trample"" over the startup.",anger,amazon accused of copying 'echo show' from nucleus.
prem mein tohre song from vidya balan's 'begum jaan' out,"'prem mein tohre', a new song from the vidya balan starrer 'begum jaan' has been released. the song has been composed by anu malik, with vocals by asha bhosle, and lyrics penned by kausar munir. the film, which stars vidya as a brothel owner, also features actors naseeruddin shah and chunky pandey. it is scheduled to release on april 14.",joy,"'prem mein tohre' composed by anu malik, with vocals by asha bhosle and kausar munir."
35 of businesses registered in gst pay no tax arun jaitley,"finance minister arun jaitley has said that 35 of people who have filed gst returns have mostly not paid any tax. around 4 lakh people contribute 95 of the gst collections, he added. he further said it is important to continue the structural changes towards making the economy more formalised and gst more rationalised looking at global tax rates.",sadness,finance minister arun jaitley says 35 of people who have filed gst returns have mostly not paid any tax.
